Column1;ID;NUMERO;NOMBRE;DIRECCION;BARRIO;COMUNA;EMPLAZAMIENTO;ANCLAJES;Lat;Lon
303;488;234;AVENIDA TRIUNVIRATO;Avenida Triunvirato 5752;VILLA URQUIZA ;COMUNA 12;VEREDA;12;-34,5656;-58,4952
277;239;391;PLAZA REPUBLICA DE ECUADOR;Figueroa Alcorta, Pres. Av. & Dorrego Av.;PALERMO;COMUNA 14;VEREDA;20;-34,56553;-58,41986
182;323;240;ECHEVERRIA;1981 Vidal;BELGRANO;COMUNA 13;CALZADA;24;-34,5653;-58,4594
269;422;379;PARQUE SARMIENTO II;Alfonsina Storni 3771;SAAVEDRA;COMUNA 12;CALZADA;16;-34,5645;-58,5029
309;490;245;COSTANERA NORTE;Avenida Costanera Rafael Obligado 1700 (Punta Carrasco);PALERMO;COMUNA 14;VEREDA;16;-34,5645;-58,4022
180;278;233;MONROE;2519 Superi;COGHLAN;COMUNA 12;CALZADA;16;-34,5641;-58,4698
222;277;292;PLAZA BOLIVIA;Olleros Av. & Del Libertador Av.;PALERMO;COMUNA 14;VEREDA;12;-34,5635;-58,4367
193;236;254;PLAZA RAFAEL HERNANDEZ;2004 Vuelta De Obligado;BELGRANO;COMUNA 13;PLAZA ABIERTA;16;-34,5625;-58,4552
195;275;256;PLAZA NORUEGA;Amenabar & Mendoza;BELGRANO;COMUNA 13;PLAZA ABIERTA;20;-34,5622;-58,4594
188;358;249;BALBIN;2519 Conesa;BELGRANO;COMUNA 13;CALZADA;12;-34,5614;-58,4657
191;232;252;TAMBORINI;3821 Tamborini, Jose Pascual;COGHLAN;COMUNA 12;CALZADA;20;-34,5601;-58,4791
276;379;390;DE LOS OMBUES;De Los Ombues Av. & Bello, Andres;PALERMO;COMUNA 14;CALZADA;20;-34,56;-58,428
194;289;255;BARRANCAS DE BELGRANO;Sucre, Antonio Jose De, Mcal. & Vertiz Virrey Av.;BELGRANO;COMUNA 13;PLAZA ABIERTA;24;-34,5599;-58,4482
36;423;43;PLAZA ALBERTDI;Crisólito Larralde 4544;SAAVEDRA;COMUNA 12;CALZADA;12;-34,5593;-58,4878
221;259;290;CLUB EXCURSIONISTAS;1818 Miñones;BELGRANO;COMUNA 13;CALZADA;16;-34,5581;-58,4433
304;487;239;AVENIDA CRAMER;Avenida Cramer 2900 (y Avenida Congreso);BELGRANO;COMUNA 13;VEREDA;12;-34,558;-58,4673
281;426;396;PLAZA ALBERTI;Arcos & Roosevelt Franklin D.;BELGRANO;COMUNA 13;CALZADA;20;-34,55571;-58,45789
189;359;250;FLENI;2292 Montañeses;BELGRANO;COMUNA 13;CALZADA;20;-34,5556;-58,4505
306;484;295;SUPERI;Nuñez 3486 (y Superi);SAAVEDRA;COMUNA 12;VEREDA;12;-34,5554;-58,4767
53;176;67;PARQUE SARMIENTO I;Av. Dr. Ricardo Balbin 4402 ;SAAVEDRA;COMUNA 12;VEREDA;16;-34,5553;-58,4948
223;392;297;TRONADOR Y GARCIA DEL RIO;Tronador y Garcia del Rio;SAAVEDRA;COMUNA 12;VEREDA;16;-34,5546;-58,4854
326;500;235;COMUNA 13;Ibera 2377;NUÑEZ;COMUNA 13;VEREDA;12;-34,5533;-58,4642
196;416;257;PLAZA FRANCISCO RAMIREZ;2700 Pedraza, Manuela;NUÑEZ;COMUNA 13;CALZADA;28;-34,5531;-58,4689
263;260;371;PASEO DE LAS AMERICAS;Av.La Pampa y Av. Pres Figueroa Alcorta;BELGRANO;COMUNA 13;PLAZA ABIERTA;12;-34,553;-58,4352
187;245;248;HUSARES;2201 Husares;BELGRANO;COMUNA 13;CALZADA;16;-34,5524;-58,443
